STT,Tỉnh thành,Đơn vị bầu cử,Địa phận,Số ĐBQH
1,Hà Nội,1,"các quận: Ba Đình, Hoàn Kiếm và Tây Hồ",3
2,Hà Nội,2,các quận: Đống Đa và Hai Bà Trưng,3
3,Hà Nội,3,"các quận: Hà Đông, Thanh Xuân và Cầu Giấy",3
4,Hà Nội,4,"quận Hoàng Mai và các huyện: Thanh Trì, Gia Lâm",3
5,Hà Nội,5,"các quận Bắc Từ Liêm, Nam Từ Liêm và các huyện: Đan Phượng, Hoài Đức",3
6,Hà Nội,6,"các huyện: Ứng Hòa, Mỹ Đức, Phú Xuyên và Thường Tín",3
7,Hà Nội,7,"các huyện: Quốc Oai, Chương Mỹ và Thanh Oai",3
8,Hà Nội,8,"thị xã Sơn Tây và các huyện: Ba Vì, Phúc Thọ, Thạch Thất",3
9,Hà Nội,9,quận Long Biên và huyện Đông Anh,3
10,Hà Nội,10,các huyện: Sóc Sơn và Mê Linh,3
11,Hồ Chí Minh,1,"quận 1, quận 3 và quận 4",3
12,Hồ Chí Minh,2,"quận 7 và các huyện: Nhà Bè, Cần Giờ",3
13,Hồ Chí Minh,3,quận 6 và quận Bình Tân,3
14,Hồ Chí Minh,4,"quận 5, quận 10 và quận 11",3
15,Hồ Chí Minh,5,quận Tân Bình và quận Tân Phú,3
16,Hồ Chí Minh,6,quận Bình Thạnh và quận Phú Nhuận,3
17,Hồ Chí Minh,7,"quận 2, quận 9 và quận Thủ Đức",3
18,Hồ Chí Minh,8,quận 12 và quận Gò Vấp,3
19,Hồ Chí Minh,9,các huyện: Củ Chi và Hóc Môn,3
20,Hồ Chí Minh,10,quận 8 và huyện Bình Chánh,3
21,Hải Phòng,1,"các quận: Hồng Bàng, Lê Chân và các huyện: Thủy Nguyên, Cát Hải, Bạch Long Vỹ",3
22,Hải Phòng,2,"các quận: Ngô Quyền, Hải An, Dương Kinh và các huyện: An Dương, Kiến Thụy",3
23,Hải Phòng,3,"các quận: Kiến An, Đồ Sơn và các huyện: An Lão, Tiên Lãng, Vĩnh Bảo",3
24,Đà Nẵng,1,"các quận: Hải Châu, Thanh Khê và Cẩm Lệ",3
25,Đà Nẵng,2,"các quận: Sơn Trà, Ngũ Hành Sơn, Liên Chiểu và các huyện: Hoàng Sa, Hòa Vang",3
26,Cần Thơ,1,"các quận: Ninh Kiều, Cái Răng và huyện Phong Điền",3
27,Cần Thơ,2,"các quận: Bình Thủy, Ô Môn và huyện Thới Lai",2
28,Cần Thơ,3,"quận Thốt Nốt và các huyện: Vĩnh Thạnh, Cờ Đỏ",2
29,An Giang,1,thành phố Long Xuyên và huyện Thoại Sơn,2
30,An Giang,2,các huyện: Châu Phú và Châu Thành,2
31,An Giang,3,các huyện: Chợ Mới và Phú Tân,3
32,An Giang,4,"thành phố Châu Đốc, thị xã Tân Châu và các huyện: An Phú, Tịnh Biên, Tri Tôn",3
33,Bà RịaVũng Tàu,1,"thành phố Vũng Tàu và các huyện: Long Điền, Đất Đỏ, Côn Đảo",3
34,Bà RịaVũng Tàu,2,"thành phố Bà Rịa và các huyện: Tân Thành, Châu Đức, Xuyên Mộc",3
35,Bạc Liêu,1,"thành phố Bạc Liêu và các huyện: Vĩnh Lợi, Hoà Bình",3
36,Bạc Liêu,2,"thị xã Giá Rai và các huyện: Phước Long, Hồng Dân, Đông Hải",3
37,Bắc Kạn,1,"các huyện: Ba Bể, Ngân Sơn, Na Rì và Pác Nặm",3
38,Bắc Kạn,2,"thành phố Bắc Kạn và các huyện: Bạch Thông, Chợ Đồn, Chợ Mới",3
39,Bắc Giang,1,"các huyện: Sơn Động, Lục Ngạn và Lục Nam",2
40,Bắc Giang,2,"các huyện: Tân Yên, Hiệp Hòa và Việt Yên",3
41,Bắc Giang,3,"thành phố Bắc Giang và các huyện: Yên Thế, Lạng Giang, Yên Dũng",3
42,Bắc Ninh,1,thành phố Bắc Ninh và huyện Quế Võ,2
43,Bắc Ninh,2,"thị xã Từ Sơn và các huyện: Tiên Du, Yên Phong",3
44,Bắc Ninh,3,"các huyện: Lương Tài, Gia Bình, Thuận Thành",2
45,Bến Tre,1,"thành phố Bến Tre và các huyện: Châu Thành, Bình Đại",2
46,Bến Tre,2,các huyện: Giồng Trôm và Ba Tri,2
47,Bến Tre,3,"các huyện: Thạnh Phú, Chợ Lách, Mỏ Cày Nam và Mỏ Cày Bắc",3
48,Bình Dương,1,thành phố Thủ Dầu Một và thị xã Dĩ An,3
49,Bình Dương,2,thị xã Thuận An và thị xã Tân Uyên,3
50,Bình Dương,3,"thị xã Bến Cát và các huyện: Dầu Tiếng, Bàu Bàng, Phú Giáo, Bắc Tân Uyên",3
51,Bình Định,1,"thành phố Quy Nhơn và các huyện: Tuy Phước, Vân Canh, Tây Sơn, Vĩnh Thạnh",3
52,Bình Định,2,"thị xã An Nhơn và các huyện: Phù Cát, Phù Mỹ",3
53,Bình Định,3,"các huyện: Hoài Nhơn, Hoài Ân và An Lão",2
54,Bình Phước,1,"thị xã Bình Long và các huyện: Bù Đốp, Bù Gia Mập, Chơn Thành, Hớn Quản, Lộc Ninh",3
55,Bình Phước,2,"các thị xã: Đồng Xoài, Phước Long và các huyện: Đồng Phú, Phú Riềng, Bù Đăng",3
